<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.08	32.8350	32.9080	32.8340	32.8520	883	0	0
2015.01.09	32.8610	32.9040	32.8010	32.8180	857	0	0
2015.01.12	32.8040	32.8920	32.7880	32.8350	711	0	0
2015.01.13	32.8500	32.8690	32.7510	32.7980	908	0	0
2015.01.14	32.8000	32.8110	32.6880	32.7410	996	0	0
2015.01.15	32.7440	32.7810	32.5320	32.7140	1242	0	0
2015.01.16	32.6400	32.7240	32.4960	32.5080	1257	0	0
2015.01.19	32.5130	32.6090	32.4890	32.5740	636	0	0
2015.01.20	32.5580	32.7760	32.5580	32.6900	1205	0	0
2015.01.21	32.6910	32.7540	32.4590	32.5380	1116	0	0
2015.01.22	32.5450	32.6270	32.4590	32.5640	1035	0	0
2015.01.23	32.5180	32.6480	32.4960	32.5540	1219	0	0
2015.01.26	32.5370	32.5920	32.5050	32.5210	851	0	0
2015.01.27	32.5210	32.5830	32.4630	32.4790	820	0	0
2015.01.28	32.4830	32.6450	32.4830	32.5500	1152	0	0
2015.01.29	32.5160	32.7840	32.5160	32.7570	1057	0	0
2015.01.30	32.7490	32.7770	32.6570	32.6600	1287	0	0
2015.02.02	32.6510	32.7420	32.5020	32.5310	1349	0	0
2015.02.03	32.5160	32.6540	32.4700	32.5720	1584	0	0
2015.02.04	32.5770	32.6560	32.5520	32.6290	950	0	0
2015.02.05	32.6280	32.6470	32.5650	32.5660	914	0	0
2015.02.06	32.5730	32.6470	32.5160	32.6040	1005	0	0
2015.02.09	32.6080	32.6420	32.5360	32.5590	799	0	0
2015.02.10	32.5700	32.6470	32.5540	32.6120	770	0	0
2015.02.11	32.6240	32.6760	32.5760	32.6300	787	0	0
2015.02.12	32.6270	32.7220	32.5610	32.5610	1092	0	0
2015.02.13	32.5490	32.6270	32.5130	32.5600	750	0	0
2015.02.16	32.5380	32.6070	32.5180	32.5560	369	0	0
2015.02.17	32.5590	32.5990	32.5320	32.5340	693	0	0
2015.02.18	32.5560	32.5870	32.5340	32.5560	839	0	0
2015.02.19	32.5540	32.5610	32.5070	32.5290	523	0	0
2015.02.20	32.5340	32.5660	32.5130	32.5150	481	0	0
2015.02.23	32.5210	32.6340	32.5150	32.5390	508	0	0
2015.02.24	32.5450	32.5830	32.5040	32.5180	543	0	0
2015.02.25	32.5320	32.5640	32.4910	32.5060	690	0	0
2015.02.26	32.5090	32.5280	32.2790	32.3760	1484	0	0
2015.02.27	32.3820	32.3900	32.2910	32.3340	1066	0	0
2015.03.02	32.2980	32.3780	32.2950	32.3420	651	0	0
2015.03.03	32.3320	32.3800	32.3000	32.3370	817	0	0
2015.03.04	32.3340	32.4280	32.3250	32.3770	498	0	0
2015.03.05	32.3690	32.4480	32.2990	32.4170	854	0	0
2015.03.06	32.4240	32.5820	32.3830	32.5670	1076	0	0
2015.03.09	32.5210	32.5900	32.5140	32.5720	747	0	0
2015.03.10	32.5670	32.7290	32.5670	32.6750	1351	0	0
2015.03.11	32.6970	32.9360	32.6420	32.8370	1702	0	0
2015.03.12	32.8470	32.9210	32.7320	32.7980	1395	0	0
2015.03.13	32.7970	32.9400	32.7670	32.9120	1163	0	0
2015.03.16	32.8970	32.9430	32.8460	32.8870	981	0	0
2015.03.17	32.8830	32.9450	32.8530	32.9110	920	0	0
2015.03.18	32.8940	32.9290	32.5920	32.6270	1170	0	0
2015.03.19	32.6370	32.7900	32.5620	32.7220	1089	0	0
2015.03.20	32.6960	32.7740	32.5390	32.5500	1214	0	0
2015.03.23	32.4790	32.6080	32.3960	32.4950	1115	0	0
2015.03.24	32.4960	32.6180	32.3950	32.4400	1132	0	0
2015.03.25	32.4320	32.5710	32.3970	32.4860	1026	0	0
2015.03.26	32.4780	32.6170	32.4710	32.4960	1118	0	0
2015.03.27	32.4960	32.6130	32.4670	32.4980	905	0	0
2015.03.30	32.5610	32.6330	32.5320	32.5830	870	0	0
2015.03.31	32.5660	32.5690	32.4640	32.5200	1190	0	0
2015.04.01	32.5300	32.5470	32.4510	32.4680	930	0	0
2015.04.02	32.4680	32.5050	32.3930	32.4410	1096	0	0
2015.04.03	32.4430	32.5050	32.0410	32.0410	665	0	0
2015.04.06	32.1790	32.4480	32.1790	32.3990	380	0	0
2015.04.07	32.3770	32.6010	32.3140	32.5550	1042	0	0
2015.04.08	32.5480	32.5800	32.4910	32.5190	1081	0	0
2015.04.09	32.5190	32.5980	32.5110	32.5620	955	0	0
2015.04.10	32.5460	32.5750	32.4860	32.4900	753	0	0
2015.04.13	32.4970	32.6260	32.4870	32.5310	590	0	0
2015.04.14	32.5220	32.5270	32.3610	32.4630	509	0	0
2015.04.15	32.4480	32.4800	32.3700	32.4070	553	0	0
2015.04.16	32.4060	32.4290	32.3670	32.3860	819	0	0
2015.04.17	32.3890	32.4260	32.2630	32.3060	836	0	0
2015.04.20	32.3210	32.4130	32.3030	32.3940	736	0	0
2015.04.21	32.3950	32.4280	32.3520	32.3520	737	0	0
2015.04.22	32.3520	32.3890	32.3330	32.3540	660	0	0
2015.04.23	32.3530	32.4770	32.3450	32.4110	780	0	0
2015.04.24	32.4090	32.5820	32.4010	32.5290	1439	0	0
2015.04.27	32.5260	32.6990	32.5230	32.5660	1241	0	0
2015.04.28	32.5720	32.6670	32.5430	32.5900	1307	0	0
2015.04.29	32.5740	32.8760	32.5680	32.7930	1983	0	0
2015.04.30	32.7950	33.0510	32.5180	33.0000	2385	0	0
2015.05.01	32.9790	33.2600	32.9230	33.2580	930	0	0
2015.05.04	33.1270	33.3380	33.1270	33.3270	803	0	0
2015.05.05	33.3250	33.4430	33.1070	33.3200	1187	0	0
2015.05.06	33.2520	33.3380	32.9640	33.2240	1905	0	0
2015.05.07	33.2280	33.6010	33.2200	33.5060	1915	0	0
2015.05.08	33.4980	33.5790	33.2930	33.5050	2103	0	0
2015.05.11	33.5010	33.7340	33.4090	33.6320	1586	0	0
2015.05.12	33.6780	33.8860	33.6140	33.7130	1649	0	0
2015.05.13	33.7100	33.7240	33.4490	33.4760	1458	0	0
2015.05.14	33.4890	33.5520	33.3100	33.4390	2063	0	0
2015.05.15	33.4390	33.6040	33.3160	33.4400	1387	0	0
2015.05.18	33.4460	33.5490	33.2820	33.3500	1632	0	0
2015.05.19	33.3460	33.5190	33.3210	33.4990	1634	0	0
2015.05.20	33.4880	33.6540	33.2390	33.5720	1664	0	0
2015.05.21	33.5490	33.5770	33.3710	33.3950	1615	0	0
2015.05.22	33.3890	33.5080	33.3200	33.4710	1745	0	0
2015.05.25	33.4380	33.5980	33.3620	33.5620	1116	0	0
2015.05.26	33.5560	33.7830	33.4970	33.7140	1977	0	0
