Datetime,open,High,Low,Close,Volume,gold_spot_usd,usd_thb_rate
2026-02-20 09:05:00,74015,74094,73967,74047,1563,5025.54,31.157
2026-02-20 09:10:00,74045,74093,74010,74034,1135,5022.72,31.169
2026-02-20 09:15:00,74039,74088,73981,74039,804,5020.47,31.185
2026-02-20 09:20:00,74036,74045,73804,73913,1882,5012.25,31.183
2026-02-20 09:25:00,73918,73973,73860,73951,1582,5015.35,31.18
2026-02-20 09:30:00,73954,73977,73877,73931,1233,5014.42,31.177
2026-02-20 09:35:00,73928,73983,73896,73972,1121,5017.89,31.173
2026-02-20 09:40:00,73980,73982,73908,73958,1189,5016.27,31.177
2026-02-20 09:45:00,73963,73982,73920,73933,805,5014.1,31.18
2026-02-20 09:50:00,73935,73967,73872,73926,1131,5012.02,31.19
2026-02-20 09:55:00,73921,73947,73831,73856,1852,5006.6,31.194
2026-02-20 10:00:00,73853,74012,73823,74001,2004,5015.02,31.203
2026-02-20 10:05:00,74011,74058,73912,73933,2013,5007.0,31.224
2026-02-20 10:10:00,73933,74018,73905,74002,1724,5012.53,31.219
2026-02-20 10:15:00,74002,74029,73966,73986,1221,5013.81,31.204
2026-02-20 10:20:00,73988,74065,73931,74042,1205,5015.51,31.217
2026-02-20 10:25:00,74044,74095,73999,74003,1387,5018.51,31.182
2026-02-20 10:30:00,74008,74085,73997,74079,1672,5021.45,31.196
2026-02-20 10:35:00,74082,74158,74030,74116,1675,5025.86,31.184
2026-02-20 10:40:00,74111,74148,74063,74126,1620,5022.65,31.208
2026-02-20 10:45:00,74128,74183,74113,74158,1351,5024.82,31.208
2026-02-20 10:50:00,74153,74215,74126,74214,1499,5030.43,31.197
2026-02-20 10:55:00,74217,74230,74132,74183,1438,5028.99,31.193
2026-02-20 11:00:00,74186,74295,74172,74253,1775,5034.64,31.187
2026-02-20 11:05:00,74253,74327,74220,74317,2067,5039.15,31.186
2026-02-20 11:10:00,74307,74321,74225,74295,1973,5039.32,31.176
2026-02-20 11:15:00,74257,74346,74247,74289,1760,5038.71,31.177
2026-02-20 11:20:00,74289,74318,74232,74249,1934,5037.98,31.165
2026-02-20 11:25:00,74252,74264,74153,74204,1723,5034.24,31.169
2026-02-20 11:30:00,74206,74281,74159,74264,1938,5035.4,31.187
2026-02-20 11:35:00,74261,74267,74175,74218,1502,5031.63,31.191
2026-02-20 11:40:00,74220,74249,74181,74225,1064,5032.3,31.19
2026-02-20 11:45:00,74223,74254,74184,74243,1167,5033.49,31.19
2026-02-20 11:50:00,74228,74262,74189,74208,1058,5031.14,31.19
2026-02-20 11:55:00,74206,74209,74108,74155,1223,5027.7,31.189
2026-02-20 12:00:00,74157,74207,74117,74150,1624,5024.82,31.205
2026-02-20 12:05:00,74150,74160,74068,74146,1384,5025.03,31.202
2026-02-20 12:10:00,74149,74175,74010,74165,1371,5025.98,31.204
2026-02-20 12:15:00,74163,74245,74150,74226,1308,5029.95,31.205
2026-02-20 12:20:00,74226,74235,74129,74143,1307,5025.95,31.195
2026-02-20 12:25:00,74143,74153,74076,74146,1381,5026.59,31.192
2026-02-20 12:30:00,74143,74254,74077,74238,1772,5033.5,31.188
2026-02-20 12:35:00,74236,74304,74233,74276,1647,5036.72,31.184
2026-02-20 12:40:00,74278,74290,74116,74220,1264,5033.91,31.178
