timestamp,gold_spot_usd,usd_thb_rate,open_thai,high_thai,low_thai,close_thai
2026-02-09 13:00:00,5031.062,31.0248,74427.66,74515.4,74111.19,74210.23
2026-02-09 14:00:00,5006.457,31.0762,74212.13,74237.04,73793.89,73969.01
2026-02-09 15:00:00,5027.394,31.0632,73968.39,74360.76,73909.72,74247.44
2026-02-09 16:00:00,5007.909,31.0835,74248.28,74415.19,73928.48,74007.76
2026-02-09 17:00:00,4991.027,31.1179,74008.87,74136.31,73717.94,73839.48
2026-02-09 18:00:00,5010.686,31.0603,73839.54,74099.78,73786.1,73993.81
2026-02-09 19:00:00,5013.398,31.043,73997.34,74122.84,73894.68,73992.84
2026-02-09 20:00:00,5007.194,31.0102,73986.02,74116.91,73718.69,73823.59
2026-02-09 21:00:00,5038.034,30.9691,73822.87,74227.47,73746.24,74180.34
2026-02-09 22:00:00,5058.796,30.9532,74175.9,74469.87,73974.36,74447.99
2026-02-09 23:00:00,5073.514,30.9511,74445.15,74829.16,74391.67,74659.55
2026-02-10 00:00:00,5046.094,30.968,74663.64,74693.14,74218.61,74296.39
2026-02-10 01:00:00,5062.891,30.9475,74299.48,74512.98,74227.46,74494.61
2026-02-10 02:00:00,5074.58,30.956,74493.59,74734.81,74487.22,74687.0
2026-02-10 03:00:00,5079.742,30.9525,74687.69,74860.52,74652.0,74754.56
2026-02-10 04:00:00,5060.084,30.9708,74762.14,74813.19,74356.28,74509.07
2026-02-10 05:00:00,5060.084,30.9583,74540.52,74575.0,74447.86,74479.15
2026-02-10 06:00:00,5031.903,31.0347,74512.5,74729.16,73438.41,74246.2
2026-02-10 07:00:00,5018.626,31.0176,74245.58,74460.34,73925.42,74009.7
2026-02-10 08:00:00,5032.711,30.9371,74007.32,74247.84,73873.27,74025.79
2026-02-10 09:00:00,5038.452,30.9451,74024.34,74364.77,74004.11,74129.29
2026-02-10 10:00:00,5029.982,30.9852,74123.98,74135.64,73862.09,74100.08
2026-02-10 11:00:00,5031.699,31.0082,74101.62,74205.88,73930.97,74180.12
2026-02-10 12:00:00,5039.241,31.0038,74176.61,74313.94,73844.67,74280.82
2026-02-10 13:00:00,5024.603,31.0449,74281.35,74369.32,74099.76,74162.73
2026-02-10 14:00:00,5033.97,31.0348,74164.39,74315.48,74063.64,74276.93
2026-02-10 15:00:00,5041.636,30.9943,74274.68,74463.0,74172.35,74293.47
2026-02-10 16:00:00,5046.743,31.0077,74291.47,74580.86,74275.61,74400.71
2026-02-10 17:00:00,5047.073,30.9894,74403.66,74515.16,74260.03,74361.89
2026-02-10 18:00:00,5055.911,31.0025,74360.77,74586.93,74329.15,74523.43
2026-02-10 19:00:00,5032.075,31.0626,74523.16,74540.34,74139.25,74315.14
2026-02-10 20:00:00,5051.048,31.0618,74318.14,74767.39,74256.53,74593.43
2026-02-10 21:00:00,5039.734,31.0457,74592.49,74852.62,74124.82,74387.97
2026-02-10 22:00:00,5019.71,31.0799,74390.32,74582.26,73944.08,74173.61
2026-02-10 23:00:00,5023.7,31.0777,74172.62,74258.42,73994.22,74227.34
2026-02-11 00:00:00,5026.344,31.0926,74225.58,74469.77,74199.37,74301.83
2026-02-11 01:00:00,5013.256,31.1099,74300.94,74325.23,74020.06,74149.38
2026-02-11 02:00:00,5028.069,31.0815,74148.64,74369.82,74086.32,74300.93
2026-02-11 03:00:00,5030.357,31.0992,74300.55,74579.58,74206.91,74376.85
2026-02-11 04:00:00,5023.044,31.1061,74378.38,74414.47,74249.98,74285.12
2026-02-11 05:00:00,5023.044,31.0716,74195.18,74246.63,74151.38,74203.15
2026-02-11 06:00:00,5041.55,31.1062,74193.52,74638.78,74169.91,74559.04
2026-02-11 07:00:00,5037.833,31.0592,74560.02,74594.49,74278.08,74392.08
2026-02-11 08:00:00,5052.332,31.0114,74395.7,74504.44,74242.13,74491.95
2026-02-11 09:00:00,5055.627,30.9955,74491.94,74562.08,74198.04,74502.51
2026-02-11 10:00:00,5054.498,30.9551,74500.4,74558.66,74379.93,74389.28
2026-02-11 11:00:00,5046.367,30.9799,74388.55,74491.52,74282.22,74328.81
2026-02-11 12:00:00,5052.527,30.933,74329.27,74495.77,74223.37,74307.46
2026-02-11 13:00:00,5064.23,30.9394,74312.42,74514.12,74220.04,74494.91
2026-02-11 14:00:00,5055.473,30.955,74492.76,74580.88,74331.05,74403.39
2026-02-11 15:00:00,5053.55,30.92,74401.71,74473.93,74220.23,74291.43
2026-02-11 16:00:00,5062.716,30.9295,74293.98,74575.09,74208.21,74448.93
2026-02-11 17:00:00,5093.373,30.8853,74450.32,74959.69,74443.0,74793.26
2026-02-11 18:00:00,5111.59,30.8581,74788.45,75081.74,74648.44,74995.01
2026-02-11 19:00:00,5083.503,30.9205,74995.89,75107.28,74247.34,74732.97
2026-02-11 20:00:00,5065.71,30.9775,74731.89,75136.18,73952.95,74607.97
2026-02-11 21:00:00,5059.453,30.9721,74617.75,74843.44,74243.35,74502.89
2026-02-11 22:00:00,5060.323,30.9503,74506.13,74817.51,74240.82,74463.52
2026-02-11 23:00:00,5075.109,30.9177,74460.64,74702.42,74281.02,74602.84
2026-02-12 00:00:00,5091.523,30.8785,74601.47,74872.96,74521.97,74749.72
2026-02-12 01:00:00,5082.166,30.8975,74749.71,74777.2,74466.79,74658.02
2026-02-12 02:00:00,5082.107,30.8955,74660.11,74800.21,74561.37,74652.35
2026-02-12 03:00:00,5086.822,30.8922,74651.11,74754.66,74606.6,74713.67
2026-02-12 04:00:00,5082.394,30.9018,74714.97,74801.22,74471.76,74671.71
2026-02-12 05:00:00,5082.394,30.9117,74686.4,74810.81,74607.23,74695.51
2026-02-12 06:00:00,5061.397,30.9426,74705.87,74974.74,74301.09,74460.89
2026-02-12 07:00:00,5063.183,30.9078,74460.5,74551.94,74307.72,74403.83
2026-02-12 08:00:00,5063.348,30.8647,74402.25,74404.16,74129.37,74303.03
2026-02-12 09:00:00,5065.816,30.8753,74323.56,74490.62,74227.32,74364.64
2026-02-12 10:00:00,5056.963,30.9011,74365.55,74456.97,74188.02,74296.4
2026-02-12 11:00:00,5069.318,30.9274,74294.4,74553.65,74180.41,74540.98
2026-02-12 12:00:00,5075.468,30.9048,74539.52,74655.27,74447.47,74577.15
2026-02-12 13:00:00,5059.67,30.9324,74577.76,74590.46,74270.33,74411.08
2026-02-12 14:00:00,5063.736,30.8831,74412.28,74461.19,74244.18,74352.79
2026-02-12 15:00:00,5068.328,30.8565,74355.15,74442.87,74175.84,74356.45
2026-02-12 16:00:00,5073.313,30.7779,74357.74,74420.21,74231.44,74240.97
2026-02-12 17:00:00,5062.131,30.8196,74240.61,74341.69,74082.87,74177.18
2026-02-12 18:00:00,5063.966,30.8077,74175.97,74231.41,74126.98,74175.57
2026-02-12 19:00:00,5052.582,30.8626,74176.79,74267.52,74060.62,74140.02
2026-02-12 20:00:00,5075.319,30.8081,74141.76,74457.85,74119.97,74342.82
2026-02-12 21:00:00,5044.471,30.8405,74341.04,74394.46,73868.53,73968.27
2026-02-12 22:00:00,5060.623,30.7959,73966.57,74327.98,73873.06,74098.35
2026-02-12 23:00:00,4954.448,30.8872,74108.69,74239.3,71743.54,72757.68
2026-02-13 00:00:00,4941.078,30.9304,72761.97,73202.99,72555.74,72662.3
2026-02-13 01:00:00,4935.828,30.9321,72661.38,72820.1,72223.87,72589.07
2026-02-13 02:00:00,4945.686,30.9113,72588.18,72851.91,72472.65,72685.39
2026-02-13 03:00:00,4915.215,30.9214,72684.18,72725.89,72228.95,72261.04
2026-02-13 04:00:00,4922.28,30.8756,72258.49,72426.97,72173.01,72258.28
2026-02-13 05:00:00,4922.28,30.8882,72262.9,72342.84,72227.44,72287.61
2026-02-13 06:00:00,4920.302,30.9296,71905.26,72395.66,71829.7,72354.91
2026-02-13 07:00:00,4928.091,30.925,72352.2,72743.29,72258.41,72458.73
2026-02-13 08:00:00,4980.569,30.9486,72460.99,73352.62,72443.06,73285.92
2026-02-13 09:00:00,4988.555,30.9209,73286.39,73391.24,73137.35,73338.07
2026-02-13 10:00:00,4981.499,30.9263,73336.01,73357.83,73141.9,73247.06
2026-02-13 11:00:00,4976.598,30.9478,73245.17,73475.08,73135.11,73225.61
2026-02-13 12:00:00,4946.451,31.0126,73228.63,73382.75,72906.72,72933.64
2026-02-13 13:00:00,4967.124,30.9862,72937.91,73232.96,72916.95,73176.43
2026-02-13 14:00:00,4974.961,30.9473,73173.66,73346.4,72982.62,73200.35
2026-02-13 15:00:00,4982.428,30.8965,73202.74,73407.47,73053.44,73190.49
2026-02-13 16:00:00,4970.387,30.9258,73191.23,73240.9,72963.49,73082.5
2026-02-13 17:00:00,4950.297,30.9676,73082.21,73280.34,72833.69,72884.98
2026-02-13 18:00:00,4953.992,30.9725,72882.7,72974.44,72659.75,72950.86
2026-02-13 19:00:00,4969.4,30.9213,72951.13,73130.27,72902.24,73057.41
2026-02-13 20:00:00,4987.073,30.9009,73058.78,73854.84,72909.8,73269.11
2026-02-13 21:00:00,4995.804,30.9123,73272.96,73589.89,72946.44,73424.32
2026-02-13 22:00:00,4976.926,30.9774,73425.23,73796.42,73230.32,73300.12
2026-02-13 23:00:00,5007.942,30.9509,73303.11,74063.12,73256.77,73694.15
2026-02-14 00:00:00,5020.882,30.9246,73693.54,73964.2,73639.94,73822.11
2026-02-14 01:00:00,5031.229,30.9122,73816.06,74019.78,73729.03,73944.73
2026-02-14 02:00:00,5023.534,30.9349,73945.8,74136.12,73878.08,73885.57
2026-02-14 03:00:00,5032.486,30.9394,73887.32,74073.55,73867.55,74027.95
2026-02-14 04:00:00,5042.605,30.9219,74022.15,74179.54,73948.06,74135.06
2026-02-16 06:00:00,5019.914,30.9219,73900.11,73982.63,73657.36,73801.46
2026-02-16 07:00:00,5015.45,30.9305,73800.64,73883.16,73504.86,73756.24
2026-02-16 08:00:00,5028.99,30.8844,73755.51,73951.2,73612.78,73845.7
2026-02-16 09:00:00,4994.619,30.8944,73846.61,73889.12,73288.98,73364.62
2026-02-16 10:00:00,4987.733,30.8605,73363.38,73409.55,72971.93,73183.49
2026-02-16 11:00:00,4977.865,30.8777,73182.82,73262.36,72974.39,73079.2
